"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"48391",48391,48391,"Block 415, SERANGOON CTRL, Singapore","HDB","SERANGOON CTRL",80609,820000,"2024-03-01","Non",111,7387.387387,"Model A HDB",12,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,1989,64,"800k-900k","50-70",103.8729808,1.3511396,"East"
"106370",106370,106370,"LANDED HOUSING DEVELOPMENT, GLASGOW ROAD, Singapore","LANDED HOUSING DEVELOPMENT","GLASGOW ROAD",90734,4600000,"2022-03-01","Land",317.8,14475,"Semi-Detached House",19,"Outside Central Region","-","Landed",5,0,3,1,1,1876,851,"4m-5m","100+",103.8782083,1.3612817,"East"
"7058",7058,7058,"Block 111, HO CHING RD, Singapore","HDB","HO CHING RD",1080,270000,"2021-12-01","Non",68,3970.588235,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1970,47.41666667,"200k-300k","40-50",103.7240884,1.3344034,"West"
"125105",125105,125105,"TANGLIN PARK, RIDLEY PARK, Singapore","TANGLIN PARK","RIDLEY PARK",106922,2450000,"2023-07-01","Strata",95,25789,"Condominium",10,"Core Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"2m-2.5m",NA,103.8159352,1.2996336,"South"
"93700",93700,93700,"CHESTERVALE, BANGKIT ROAD, Singapore","CHESTERVALE","BANGKIT ROAD",99325,1250000,"2023-02-01","Strata",131,9542,"Executive Condominium",23,"Outside Central Region","11 to 15","Executive Condo",3,0,2,1,1,1997,72,"1.25m-1.5m","70-100",103.7745267,1.3785671,"West"
"122791",122791,122791,"SOMMERVILLE PARK, FARRER DRIVE, Singapore","SOMMERVILLE PARK","FARRER DRIVE",102486,4625000,"2023-04-01","Strata",216,21412,"Condominium",10,"Core Central Region","01 to 05","Apartment & Condo",5,0,3,1,1,NA,NA,"4m-5m",NA,103.8060041,1.3125978,"South"
"121858",121858,121858,"SKY HABITAT, BISHAN STREET 15, Singapore","SKY HABITAT","BISHAN STREET 15",122615,1988000,"2022-10-01","Strata",108,18407,"Condominium",20,"Rest of Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2011,86,"1.5m-2m","70-100",103.8518537,1.3522637,"East"
"113803",113803,113803,"PARC OASIS, JURONG EAST AVENUE 1, Singapore","PARC OASIS","JURONG EAST AVENUE 1",107895,1050000,"2021-09-01","Strata",114,9211,"Condominium",22,"Outside Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,1991,66,"1m-1.25m","50-70",103.7332848,1.3441583,"West"
"48752",48752,48752,"Block 417, HOUGANG AVE 8, Singapore","HDB","HOUGANG AVE 8",19783,415000,"2021-02-01","Non",109,3807.33945,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1989,67.5,"400k-500k","50-70",103.8882516,1.3746983,"East"
"80605",80605,80605,"Block 762, PASIR RIS ST 71, Singapore","HDB","PASIR RIS ST 71",29278,460000,"2021-08-01","Non",106,4339.622642,"Model A HDB",18,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,1996,74.16666667,"400k-500k","70-100",103.9373989,1.3755676,"East"
"115381",115381,115381,"PINEVALE, TAMPINES STREET 73, Singapore","PINEVALE","TAMPINES STREET 73",95180,960000,"2021-07-01","Strata",120,8000,"Executive Condominium",18,"Outside Central Region","06 to 10","Executive Condo",3,0,2,1,1,1997,72,"900k-1m","70-100",103.9324099,1.3587858,"East"
"117068",117068,117068,"RESIDENTIAL APARTMENTS, EVERITT ROAD, Singapore","RESIDENTIAL APARTMENTS","EVERITT ROAD",103113,1650000,"2024-03-01","Land",170.7,9666,"Apartment",15,"Rest of Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,NA,NA,"1.5m-2m",NA,103.819836,1.352083,"Central"
"101751",101751,101751,"HIGH PARK RESIDENCES, FERNVALE ROAD, Singapore","HIGH PARK RESIDENCES","FERNVALE ROAD",100099,903000,"2023-11-01","Strata",55,16418,"Apartment",28,"Outside Central Region","21 to 25","Apartment & Condo",1,0,1,1,1,2014,89,"900k-1m","70-100",103.8751347,1.396412,"North"
"76902",76902,76902,"Block 694D, WOODLANDS DR 62, Singapore","HDB","WOODLANDS DR 62",22135,425000,"2023-05-01","Non",68,6250,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2018,94.41666667,"400k-500k","70-100",103.8053824,1.4393617,"North"
"96962",96962,96962,"EAST COURT, KOON SENG ROAD, Singapore","EAST COURT","KOON SENG ROAD",140157,2475000,"2022-06-01","Strata",154,16071,"Apartment",15,"Rest of Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,NA,NA,"2m-2.5m",NA,103.9047961,1.311866,"East"
"136181",136181,136181,"TROPICANA CONDOMINIUM, JALAN TIGA RATUS, Singapore","TROPICANA CONDOMINIUM","JALAN TIGA RATUS",136495,1900000,"2022-03-01","Strata",156,12179,"Condominium",16,"Outside Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,1885,860,"1.5m-2m","100+",103.9608607,1.3414501,"East"
"101710",101710,101710,"HIGH PARK RESIDENCES, FERNVALE ROAD, Singapore","HIGH PARK RESIDENCES","FERNVALE ROAD",100152,1e+06,"2023-12-01","Strata",62,16129,"Apartment",28,"Outside Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2014,89,"1m-1.25m","70-100",103.8751347,1.396412,"North"
"11856",11856,11856,"Block 13, MARSILING LANE, Singapore","HDB","MARSILING LANE",6460,330000,"2022-09-01","Non",76,4342.105263,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1976,52.58333333,"300k-400k","50-70",103.775801,1.4450726,"North"
"43162",43162,43162,"Block 344, YISHUN AVE 11, Singapore","HDB","YISHUN AVE 11",76889,755000,"2023-01-01","Non",145,5206.896552,"Maisonette HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1988,64.58333333,"700k-800k","50-70",103.8447187,1.424577,"North"
"18097",18097,18097,"Block 176, WOODLANDS ST 13, Singapore","HDB","WOODLANDS ST 13",83349,885000,"2023-10-01","Non",182,4862.637363,"Apartment HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1994,69.25,"800k-900k","50-70",103.7775041,1.4349471,"North"
"3078",3078,3078,"BELLEWATERS, ANCHORVALE CRESCENT, Singapore","BELLEWATERS","ANCHORVALE CRESCENT",96438,1200000,"2023-07-01","Strata",86,13953,"Executive Condominium",19,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2013,88,"1m-1.25m","70-100",103.8910415,1.3993024,"North"
"33413",33413,33413,"Block 287B, COMPASSVALE CRES, Singapore","HDB","COMPASSVALE CRES",62083,615000,"2022-11-01","Non",96,6406.25,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,94.16666667,"600k-700k","70-100",103.8982054,1.3972429,"North"
"91128",91128,91128,"BLUE HORIZON, WEST COAST CRESCENT, Singapore","BLUE HORIZON","WEST COAST CRESCENT",125042,1408888,"2023-01-01","Strata",108,13045,"Condominium",5,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2000,75,"1.25m-1.5m","70-100",103.7652419,1.2972687,"South"
"82147",82147,82147,"Block 798, WOODLANDS DR 72, Singapore","HDB","WOODLANDS DR 72",66863,650000,"2021-06-01","Non",141,4609.929078,"Maisonette HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1997,75.41666667,"600k-700k","70-100",103.8044054,1.4434272,"North"
"79490",79490,79490,"Block 737, TAMPINES ST 72, Singapore","HDB","TAMPINES ST 72",79945,808888,"2022-05-01","Non",140,5777.771429,"Apartment HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1997,74.41666667,"800k-900k","70-100",103.93467,1.3593543,"East"
"66037",66037,66037,"Block 587, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",16179,390000,"2023-03-01","Non",67,5820.895522,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1979,55.33333333,"300k-400k","50-70",103.8572732,1.3690195,"East"
"85886",85886,85886,"Block 86, DAWSON RD, Singapore","HDB","DAWSON RD",70750,685000,"2022-06-01","Non",83,8253.012048,"Premium Apartment HDB",3,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,2016,93.16666667,"600k-700k","70-100",103.8106115,1.2947656,"South"
"41420",41420,41420,"Block 331, WOODLANDS AVE 1, Singapore","HDB","WOODLANDS AVE 1",29863,460000,"2023-07-01","Non",103,4466.019417,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1994,69.66666667,"400k-500k","50-70",103.7851183,1.4314714,"North"
"26519",26519,26519,"Block 23, GHIM MOH LINK, Singapore","HDB","GHIM MOH LINK",83469,888000,"2024-01-01","Non",87,10206.89655,"Model A HDB",3,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,2013,88.33333333,"800k-900k","70-100",103.7852125,1.3098426,"South"
"11774",11774,11774,"Block 13, FARRER PK RD, Singapore","HDB","FARRER PK RD",76851,755000,"2022-02-01","Non",110,6863.636364,"Improved HDB",12,"Downtown Core","1 to 5","Public Housing",3,0,2,1,1,2004,81.41666667,"700k-800k","70-100",103.8510147,1.3114778,"East"
"69421",69421,69421,"Block 625, CHOA CHU KANG ST 62, Singapore","HDB","CHOA CHU KANG ST 62",70654,683888,"2023-11-01","Non",120,5699.066667,"Improved HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1997,72.58333333,"600k-700k","70-100",103.746659,1.39885,"North"
"56265",56265,56265,"Block 475D, UPP SERANGOON CRES, Singapore","HDB","UPP SERANGOON CRES",82962,875000,"2023-07-01","Non",112,7812.5,"DBSS HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2014,90.41666667,"800k-900k","70-100",103.9005506,1.3773161,"East"
"73248",73248,73248,"Block 664D, JURONG WEST ST 64, Singapore","HDB","JURONG WEST ST 64",39238,5e+05,"2022-12-01","Non",91,5494.505495,"Model A HDB",22,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2000,76.66666667,"500k-600k","70-100",103.703964,1.3411285,"West"
"2935",2935,2935,"BELGRAVIA VILLAS, BELGRAVIA DRIVE, Singapore","BELGRAVIA VILLAS","BELGRAVIA DRIVE",99562,3680000,"2021-11-01","Strata",368,10000,"Semi-Detached House",28,"Outside Central Region","-","Strata",5,1,3,1,1,NA,NA,"3m-4m",NA,103.8656,1.380142,"East"
"71596",71596,71596,"Block 649, WOODLANDS RING RD, Singapore","HDB","WOODLANDS RING RD",37446,493000,"2021-05-01","Non",121,4074.380165,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,76.16666667,"400k-500k","70-100",103.7994166,1.4384844,"North"
"18697",18697,18697,"Block 180A, RIVERVALE CRES, Singapore","HDB","RIVERVALE CRES",22129,425000,"2023-05-01","Non",67,6343.283582,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2015,90.83333333,"400k-500k","70-100",103.9074777,1.391581,"North"
"124115",124115,124115,"STURDEE RESIDENCES, BEATTY ROAD, Singapore","STURDEE RESIDENCES","BEATTY ROAD",119135,2388000,"2023-11-01","Strata",120,19900,"Condominium",8,"Rest of Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,2015,90,"2m-2.5m","70-100",103.859027,1.3129796,"East"
"137682",137682,137682,"VUE 8 RESIDENCE, PASIR RIS HEIGHTS, Singapore","VUE 8 RESIDENCE","PASIR RIS HEIGHTS",127887,905000,"2022-05-01","Strata",74,12230,"Condominium",18,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2012,87,"900k-1m","70-100",103.9409971,1.3820968,"East"
"109456",109456,109456,"MARINA ONE RESIDENCES, MARINA WAY, Singapore","MARINA ONE RESIDENCES","MARINA WAY",121537,2471812,"2021-10-01","Strata",98,25223,"Apartment",1,"Core Central Region","26 to 30","Apartment & Condo",2,0,1,1,1,2011,86,"2m-2.5m","70-100",103.853187,1.2767662,"East"
"36069",36069,36069,"Block 302, HOUGANG AVE 5, Singapore","HDB","HOUGANG AVE 5",66451,645000,"2023-04-01","Non",133,4849.62406,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1983,59.5,"600k-700k","50-70",103.8963229,1.367378,"East"
"127511",127511,127511,"THE EDEN AT TAMPINES, TAMPINES STREET 34, Singapore","THE EDEN AT TAMPINES","TAMPINES STREET 34",98347,1022888,"2022-02-01","Strata",111,9215,"Executive Condominium",18,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2000,75,"1m-1.25m","70-100",103.9597709,1.3554953,"East"
"123386",123386,123386,"ST FRANCIS LODGE, ST. FRANCIS ROAD, Singapore","ST FRANCIS LODGE","ST. FRANCIS ROAD",138886,1700000,"2023-04-01","Strata",115,14783,"Apartment",12,"Rest of Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,NA,NA,"1.5m-2m",NA,103.8640182,1.3249775,"East"
"202",202,202,"10 SHELFORD, SHELFORD ROAD, Singapore","10 SHELFORD","SHELFORD ROAD",135291,885000,"2023-04-01","Strata",43,20581,"Apartment",11,"Core Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"800k-900k",NA,103.8124981,1.3258989,"Central"
"29521",29521,29521,"Block 258D, COMPASSVALE RD, Singapore","HDB","COMPASSVALE RD",44449,525000,"2021-10-01","Non",110,4772.727273,"Improved HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2001,78.41666667,"500k-600k","70-100",103.8974758,1.3903291,"North"
"15702",15702,15702,"Block 158, PASIR RIS ST 13, Singapore","HDB","PASIR RIS ST 13",78158,778000,"2022-01-01","Non",152,5118.421053,"Apartment HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1995,72.16666667,"700k-800k","70-100",103.9616212,1.3634402,"East"
"116640",116640,116640,"REGENT GROVE, CHOA CHU KANG NORTH 7, Singapore","REGENT GROVE","CHOA CHU KANG NORTH 7",117564,865000,"2022-08-01","Strata",86,10058,"Condominium",23,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,1997,72,"800k-900k","70-100",103.7493119,1.3998498,"North"
"78624",78624,78624,"Block 717B, WOODLANDS DR 70, Singapore","HDB","WOODLANDS DR 70",38368,498000,"2023-11-01","Non",71,7014.084507,"Model A HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2017,93.16666667,"400k-500k","70-100",103.7983005,1.4412431,"North"
"128602",128602,128602,"THE HILLIER, HILLVIEW RISE, Singapore","THE HILLIER","HILLVIEW RISE",123144,920000,"2023-09-01","Strata",58,15862,"Apartment",23,"Outside Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,2011,86,"900k-1m","70-100",103.7642313,1.3639081,"West"
"112633",112633,112633,"ORCHARD TOWERS, CLAYMORE DRIVE, Singapore","ORCHARD TOWERS","CLAYMORE DRIVE",127524,3080000,"2023-10-01","Strata",183,16831,"Apartment",9,"Core Central Region","21 to 25","Apartment & Condo",4,0,2,1,1,NA,NA,"3m-4m",NA,103.8293323,1.3072293,"South"
"80728",80728,80728,"Block 766, BEDOK RESERVOIR VIEW, Singapore","HDB","BEDOK RESERVOIR VIEW",56893,585000,"2021-08-01","Non",107,5467.28972,"Premium Apartment HDB",16,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2000,78.41666667,"500k-600k","70-100",103.936717,1.3368264,"East"
"102814",102814,102814,"HOLT RESIDENCES, HOLT ROAD, Singapore","HOLT RESIDENCES","HOLT ROAD",139167,4030000,"2022-04-01","Strata",192,20990,"Apartment",10,"Core Central Region","01 to 05","Apartment & Condo",5,0,3,1,1,NA,NA,"4m-5m",NA,103.826138,1.294187,"South"
"41696",41696,41696,"Block 333A, YISHUN ST 31, Singapore","HDB","YISHUN ST 31",34249,480000,"2022-01-01","Non",92,5217.391304,"Model A HDB",27,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2015,92.91666667,"400k-500k","70-100",103.8460726,1.4316202,"North"
"15757",15757,15757,"Block 158C, RIVERVALE CRES, Singapore","HDB","RIVERVALE CRES",53257,565000,"2023-01-01","Non",110,5136.363636,"Premium Apartment HDB",19,"Outside Central Region","16 to 20","Public Housing",3,0,2,1,1,2003,79.58333333,"500k-600k","70-100",103.9074777,1.391581,"North"
"23028",23028,23028,"Block 209B, COMPASSVALE LANE, Singapore","HDB","COMPASSVALE LANE",21818,425000,"2021-08-01","Non",92,4619.565217,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2011,89.41666667,"400k-500k","70-100",103.8983491,1.3857253,"East"
"92161",92161,92161,"CAPE ROYALE, COVE WAY, Singapore","CAPE ROYALE","COVE WAY",117230,4288000,"2024-02-01","Strata",177,24226,"Condominium",4,"Core Central Region","11 to 15","Apartment & Condo",4,0,2,1,1,2008,83,"4m-5m","70-100",103.8401587,1.2416267,"South"
"48109",48109,48109,"Block 413, C'WEALTH AVE WEST, Singapore","HDB","C'WEALTH AVE WEST",57961,590000,"2022-05-01","Non",125,4720,"Improved HDB",5,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1978,55.25,"500k-600k","50-70",103.819836,1.352083,"Central"
"39097",39097,39097,"Block 316, SEMBAWANG VISTA, Singapore","HDB","SEMBAWANG VISTA",44019,520800,"2022-01-01","Non",122,4268.852459,"Improved HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1999,76.41666667,"500k-600k","70-100",103.8209053,1.44717,"North"
"82163",82163,82163,"Block 798, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",34247,480000,"2022-01-01","Non",103,4660.194175,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1986,63.83333333,"400k-500k","50-70",103.8321027,1.4260651,"North"
"90030",90030,90030,"Block 97, JLN DUA, Singapore","HDB","JLN DUA",4413,315000,"2022-02-01","Non",56,5625,"Standard HDB",14,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1969,45.91666667,"300k-400k","40-50",103.887611,1.3090267,"East"
"111315",111315,111315,"NORTHOAKS, WOODLANDS CRESCENT, Singapore","NORTHOAKS","WOODLANDS CRESCENT",96652,865000,"2021-10-01","Strata",115,7522,"Executive Condominium",25,"Outside Central Region","06 to 10","Executive Condo",3,0,2,1,1,1997,72,"800k-900k","70-100",103.807289,1.445382,"North"
"129405",129405,129405,"THE LEGEND, BUKIT TIMAH ROAD, Singapore","THE LEGEND","BUKIT TIMAH ROAD",114269,2288000,"2021-11-01","Strata",139,16460,"Condominium",10,"Core Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,NA,NA,"2m-2.5m",NA,103.8294363,1.3187075,"South"
"11177",11177,11177,"Block 128, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",16528,393888,"2023-08-01","Non",67,5878.925373,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1978,54.16666667,"300k-400k","50-70",103.8572732,1.3690195,"East"
"238",238,238,"18 SHELFORD, SHELFORD ROAD, Singapore","18 SHELFORD","SHELFORD ROAD",137750,2430000,"2023-06-01","Strata",112,21696,"Apartment",11,"Core Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,NA,NA,"2m-2.5m",NA,103.812824,1.327314,"Central"
"70838",70838,70838,"Block 638A, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",44048,521000,"2022-11-01","Non",92,5663.043478,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2005,81.25,"500k-600k","70-100",103.9125114,1.4025582,"North"
"65306",65306,65306,"Block 570B, WOODLANDS AVE 1, Singapore","HDB","WOODLANDS AVE 1",11271,360800,"2021-08-01","Non",67,5385.074627,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2013,91.33333333,"300k-400k","70-100",103.7851183,1.4314714,"North"
"17807",17807,17807,"Block 173B, PUNGGOL FIELD, Singapore","HDB","PUNGGOL FIELD",43448,520000,"2022-04-01","Non",110,4727.272727,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2003,80.75,"500k-600k","70-100",103.905639,1.399453,"North"
"6250",6250,6250,"Block 109, SIMEI ST 1, Singapore","HDB","SIMEI ST 1",64249,630000,"2021-08-01","Non",122,5163.934426,"Improved HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1988,66.25,"600k-700k","50-70",103.9543872,1.3455145,"East"
"108147",108147,108147,"LEIGHWOODS, MOUNT SINAI RISE, Singapore","LEIGHWOODS","MOUNT SINAI RISE",122389,3600000,"2024-02-01","Strata",206,17476,"Condominium",10,"Core Central Region","11 to 15","Apartment & Condo",5,0,3,1,1,NA,NA,"3m-4m",NA,103.7775324,1.3152347,"South"
"50257",50257,50257,"Block 43, BEDOK STH RD, Singapore","HDB","BEDOK STH RD",23491,431500,"2022-11-01","Non",84,5136.904762,"Improved HDB",16,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,1977,53.91666667,"400k-500k","50-70",103.9378409,1.3203597,"East"
"23771",23771,23771,"Block 212A, PUNGGOL WALK, Singapore","HDB","PUNGGOL WALK",24258,435000,"2024-02-01","Non",67,6492.537313,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2015,90.25,"400k-500k","70-100",103.9004692,1.4052147,"North"
"63394",63394,63394,"Block 541, WOODLANDS DR 16, Singapore","HDB","WOODLANDS DR 16",28090,455000,"2021-04-01","Non",101,4504.950495,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2000,78.16666667,"400k-500k","70-100",103.7946235,1.4302168,"North"
"69235",69235,69235,"Block 623, WOODLANDS DR 52, Singapore","HDB","WOODLANDS DR 52",55557,578000,"2023-05-01","Non",121,4776.859504,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,74.41666667,"500k-600k","70-100",103.7993728,1.4340454,"North"
"84391",84391,84391,"Block 817A, KEAT HONG LINK, Singapore","HDB","KEAT HONG LINK",41782,512000,"2021-11-01","Non",92,5565.217391,"Model A HDB",23,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2017,94.83333333,"500k-600k","70-100",103.7488088,1.3756913,"West"
"45813",45813,45813,"Block 388, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",14732,382000,"2022-04-01","Non",84,4547.619048,"Simplified HDB",27,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1988,65.25,"300k-400k","50-70",103.8321027,1.4260651,"North"
